task_record_id,source_questionnaire_id,test_date,group,hsk_level,pre_culture,pre_judgement_answer,pre_open_score_0_2,completion_sec,help_count,system_or_network_error,over_8min,post_culture,post_choice_answer,post_open_score_0_3,task_correct_0_1,culture_gain,relevance_1_5_or_NA,cultural_clarity_1_5_or_NA,language_accessibility_1_5_or_NA,usability_1_5_or_NA,trust_1_5_or_NA,reuse_intent_1_5_or_NA,quality_flag,valid_record,future_date_flag
TASK-C-001,REAL-021,2026-08-26,常规检索组,HSK1,2,错误,1,787,0,无,否,2,A,1,0,0,NA,NA,NA,NA,NA,NA,PASS,1,0
TASK-C-002,REAL-013,2026-08-27,常规检索组,HSK2,1,错误,0,883,0,无,否,2,B,1,0,1,NA,NA,NA,NA,NA,NA,PASS,1,0
TASK-C-003,REAL-032,2026-08-27,常规检索组,HSK2,2,错误,1,764,0,无,否,3,B,2,1,1,NA,NA,NA,NA,NA,NA,PASS,1,0
TASK-C-004,REAL-042,2026-08-27,常规检索组,HSK2,2,正确,1,837,3,无,是,2,B,2,1,0,NA,NA,NA,NA,NA,NA,PASS,1,0
TASK-C-005,REAL-005,2026-08-27,常规检索组,HSK3,3,正确,2,904,0,无,否,5,A,3,0,2,NA,NA,NA,NA,NA,NA,PASS,1,0
TASK-C-006,REAL-028,2026-08-27,常规检索组,HSK3,3,错误,1,751,2,无,否,3,B,3,1,0,NA,NA,NA,NA,NA,NA,PASS,1,0
TASK-C-007,REAL-035,2026-08-27,常规检索组,HSK3,2,正确,0,907,0,无,是,3,B,2,1,1,NA,NA,NA,NA,NA,NA,PASS,1,0
TASK-C-008,REAL-040,2026-08-27,常规检索组,HSK3,2,错误,2,898,1,无,否,3,B,2,1,1,NA,NA,NA,NA,NA,NA,PASS,1,0
TASK-C-009,REAL-059,2026-08-27,常规检索组,HSK3,3,正确,2,884,0,无,否,4,B,0,0,1,NA,NA,NA,NA,NA,NA,PASS,1,0
TASK-C-010,REAL-014,2026-08-28,常规检索组,HSK4,3,正确,2,787,3,无,否,4,B,1,0,1,NA,NA,NA,NA,NA,NA,PASS,1,0
TASK-C-011,REAL-027,2026-08-28,常规检索组,HSK4,2,错误,1,902,2,搜索页面加载缓慢一次,是,3,B,2,1,1,NA,NA,NA,NA,NA,NA,PASS,1,0
TASK-C-012,REAL-052,2026-08-28,常规检索组,HSK4,3,正确,1,832,2,搜索页面加载缓慢一次,否,3,B,2,1,0,NA,NA,NA,NA,NA,NA,PASS,1,0
TASK-C-013,REAL-058,2026-08-28,常规检索组,HSK4,3,正确,2,857,0,无,是,4,B,1,0,1,NA,NA,NA,NA,NA,NA,PASS,1,0
TASK-C-014,REAL-043,2026-08-28,常规检索组,HSK5及以上,4,错误,2,814,1,无,否,4,B,1,0,0,NA,NA,NA,NA,NA,NA,PASS,1,0
TASK-C-015,REAL-056,2026-08-28,常规检索组,HSK5及以上,3,错误,1,757,1,无,否,3,C,2,0,0,NA,NA,NA,NA,NA,NA,PASS,1,0
TASK-Z-001,REAL-006,2026-08-25,智语桥组,HSK1,2,错误,1,802,0,无,否,4,B,1,0,2,5,3,4,4,4,5,PASS,1,0
TASK-Z-002,REAL-007,2026-08-25,智语桥组,HSK2,2,错误,1,756,1,无,否,4,B,3,1,2,5,4,4,4,4,5,PASS,1,0
TASK-Z-003,REAL-022,2026-08-25,智语桥组,HSK2,2,错误,1,790,0,无,否,4,B,2,1,2,4,4,4,5,4,5,PASS,1,0
TASK-Z-004,REAL-041,2026-08-25,智语桥组,HSK2,1,错误,2,692,1,无,否,3,B,3,1,2,3,3,4,5,4,4,PASS,1,0
TASK-Z-005,REAL-003,2026-08-25,智语桥组,HSK3,3,正确,1,739,1,无,否,4,C,3,0,1,5,5,4,4,3,5,PASS,1,0
TASK-Z-006,REAL-024,2026-08-25,智语桥组,HSK3,3,正确,2,719,0,无,否,5,B,3,1,2,4,4,4,3,4,4,PASS,1,0
TASK-Z-007,REAL-034,2026-08-25,智语桥组,HSK3,2,错误,2,734,1,无,否,3,A,3,0,1,4,4,4,4,5,5,PASS,1,0
TASK-Z-008,REAL-039,2026-08-25,智语桥组,HSK3,3,正确,2,800,0,无,否,5,B,3,1,2,5,5,4,4,4,3,PASS,1,0
TASK-Z-009,REAL-057,2026-08-26,智语桥组,HSK3,2,错误,0,752,0,无,否,4,B,3,1,2,5,4,2,5,4,5,PASS,1,0
TASK-Z-010,REAL-010,2026-08-26,智语桥组,HSK4,2,正确,2,714,0,无,否,4,B,3,1,2,5,5,3,4,4,5,PASS,1,0
TASK-Z-011,REAL-023,2026-08-26,智语桥组,HSK4,3,正确,1,774,0,智语桥页面刷新一次，未影响作答,否,5,B,2,1,2,5,5,5,4,3,4,PASS,1,0
TASK-Z-012,REAL-049,2026-08-26,智语桥组,HSK4,3,错误,1,733,0,无,否,5,B,1,0,2,4,5,4,4,4,5,PASS,1,0
TASK-Z-013,REAL-053,2026-08-26,智语桥组,HSK4,2,错误,1,800,1,智语桥页面刷新一次，未影响作答,否,3,B,1,0,1,4,3,4,3,5,3,PASS,1,0
TASK-Z-014,REAL-031,2026-08-26,智语桥组,HSK5及以上,3,错误,2,701,0,无,否,5,B,2,1,2,5,3,4,3,4,4,PASS,1,0
TASK-Z-015,REAL-044,2026-08-26,智语桥组,HSK5及以上,4,正确,1,778,1,无,否,4,B,2,1,0,3,5,4,4,4,4,PASS,1,0
