record_id,question,item
REAL-001,Q17,公共交通
REAL-001,Q17,城市建筑
REAL-001,Q18,文化辨析
REAL-001,Q18,图片地图
REAL-001,Q18,拼音
REAL-001,Q20,准确
REAL-001,Q20,语种支持
REAL-001,Q20,有来源
REAL-002,Q17,非遗与老字号
REAL-002,Q17,城市建筑
REAL-002,Q17,节庆礼仪
REAL-002,Q18,图片地图
REAL-002,Q18,文化辨析
REAL-002,Q18,练习反馈
REAL-002,Q20,有来源
REAL-002,Q20,能继续追问
REAL-002,Q20,易懂
REAL-003,Q17,社区生活
REAL-003,Q17,城市建筑
REAL-003,Q17,饮食
REAL-003,Q18,文化辨析
REAL-003,Q18,图片地图
REAL-003,Q18,拼音
REAL-003,Q20,有来源
REAL-003,Q20,准确
REAL-003,Q20,易懂
REAL-004,Q17,社区生活
REAL-004,Q17,节庆礼仪
REAL-004,Q17,城市建筑
REAL-004,Q18,图片地图
REAL-004,Q18,分级中文
REAL-004,Q18,英文解释
REAL-004,Q20,有来源
REAL-004,Q20,准确
REAL-005,Q17,非遗与老字号
REAL-005,Q17,红色文化
REAL-005,Q17,城市建筑
REAL-005,Q18,拼音
REAL-005,Q18,例句
REAL-005,Q18,练习反馈
REAL-005,Q20,语种支持
REAL-005,Q20,准确
REAL-005,Q20,易懂
REAL-006,Q17,饮食
REAL-006,Q17,文学艺术
REAL-006,Q18,情境对话
REAL-006,Q18,练习反馈
REAL-006,Q18,文化辨析
REAL-006,Q20,准确
REAL-006,Q20,能继续追问
REAL-006,Q20,语种支持
REAL-007,Q17,公共交通
REAL-007,Q17,节庆礼仪
REAL-007,Q17,城市建筑
REAL-007,Q18,例句
REAL-007,Q18,拼音
REAL-007,Q18,来源链接
REAL-007,Q20,语种支持
REAL-007,Q20,易懂
REAL-007,Q20,准确
REAL-008,Q17,饮食
REAL-008,Q17,文学艺术
REAL-008,Q18,英文解释
REAL-008,Q18,例句
REAL-008,Q20,准确
REAL-008,Q20,能继续追问
REAL-008,Q20,有来源
REAL-009,Q17,节庆礼仪
REAL-009,Q17,公共交通
REAL-009,Q18,例句
REAL-009,Q18,练习反馈
REAL-009,Q18,图片地图
REAL-009,Q20,有来源
REAL-009,Q20,准确
REAL-009,Q20,能继续追问
REAL-010,Q17,公共交通
REAL-010,Q17,社区生活
REAL-010,Q17,城市建筑
REAL-010,Q18,来源链接
REAL-010,Q18,例句
REAL-010,Q18,拼音
REAL-010,Q20,准确
REAL-010,Q20,易懂
REAL-010,Q20,语种支持
REAL-011,Q17,公共交通
REAL-011,Q17,社区生活
REAL-011,Q17,城市建筑
REAL-011,Q18,图片地图
REAL-011,Q18,例句
REAL-011,Q20,易懂
REAL-011,Q20,准确
REAL-011,Q20,有来源
REAL-012,Q17,社区生活
REAL-012,Q17,非遗与老字号
REAL-012,Q17,校园生活
REAL-012,Q18,练习反馈
REAL-012,Q18,拼音
REAL-012,Q20,准确
REAL-012,Q20,能继续追问
REAL-012,Q20,有来源
REAL-013,Q17,公共交通
REAL-013,Q17,饮食
REAL-013,Q17,文学艺术
REAL-013,Q18,练习反馈
REAL-013,Q18,分级中文
REAL-013,Q18,情境对话
REAL-013,Q20,准确
REAL-013,Q20,有来源
REAL-014,Q17,文学艺术
REAL-014,Q17,饮食
REAL-014,Q17,社区生活
REAL-014,Q18,例句
REAL-014,Q18,分级中文
REAL-014,Q18,练习反馈
REAL-014,Q20,有来源
REAL-014,Q20,易懂
REAL-014,Q20,准确
REAL-015,Q17,饮食
REAL-015,Q17,红色文化
REAL-015,Q18,葡语解释
REAL-015,Q18,例句
REAL-015,Q18,拼音
REAL-015,Q20,有来源
REAL-015,Q20,准确
REAL-015,Q20,语种支持
REAL-016,Q17,节庆礼仪
REAL-016,Q17,饮食
REAL-016,Q17,公共交通
REAL-016,Q18,练习反馈
REAL-016,Q18,英文解释
REAL-016,Q20,能继续追问
REAL-016,Q20,教学可操作
REAL-016,Q20,有来源
REAL-017,Q17,饮食
REAL-017,Q17,非遗与老字号
REAL-017,Q17,节庆礼仪
REAL-017,Q18,分级中文
REAL-017,Q18,来源链接
REAL-017,Q20,准确
REAL-017,Q20,易懂
REAL-017,Q20,能继续追问
REAL-018,Q17,非遗与老字号
REAL-018,Q17,校园生活
REAL-018,Q17,文学艺术
REAL-018,Q18,拼音
REAL-018,Q18,分级中文
REAL-018,Q18,英文解释
REAL-018,Q20,准确
REAL-018,Q20,教学可操作
REAL-018,Q20,语种支持
REAL-019,Q17,社区生活
REAL-019,Q17,城市建筑
REAL-019,Q17,红色文化
REAL-019,Q18,来源链接
REAL-019,Q18,练习反馈
REAL-019,Q18,英文解释
REAL-019,Q20,语种支持
REAL-019,Q20,准确
REAL-019,Q20,能继续追问
REAL-020,Q17,非遗与老字号
REAL-020,Q17,校园生活
REAL-020,Q17,社区生活
REAL-020,Q18,情境对话
REAL-020,Q18,分级中文
REAL-020,Q20,准确
REAL-020,Q20,能继续追问
REAL-020,Q20,有来源
REAL-021,Q17,饮食
REAL-021,Q17,校园生活
REAL-021,Q17,社区生活
REAL-021,Q18,分级中文
REAL-021,Q18,情境对话
REAL-021,Q18,英文解释
REAL-021,Q20,准确
REAL-021,Q20,能继续追问
REAL-021,Q20,有来源
REAL-022,Q17,饮食
REAL-022,Q17,文学艺术
REAL-022,Q18,文化辨析
REAL-022,Q18,分级中文
REAL-022,Q18,例句
REAL-022,Q20,语种支持
REAL-022,Q20,准确
REAL-022,Q20,有来源
REAL-023,Q17,节庆礼仪
REAL-023,Q17,城市建筑
REAL-023,Q17,非遗与老字号
REAL-023,Q18,情境对话
REAL-023,Q18,来源链接
REAL-023,Q20,教学可操作
REAL-023,Q20,有来源
REAL-023,Q20,准确
REAL-024,Q17,城市建筑
REAL-024,Q17,饮食
REAL-024,Q17,公共交通
REAL-024,Q18,情境对话
REAL-024,Q18,英文解释
REAL-024,Q18,图片地图
REAL-024,Q20,易懂
REAL-024,Q20,能继续追问
REAL-024,Q20,准确
REAL-025,Q17,工业遗产
REAL-025,Q17,城市建筑
REAL-025,Q17,饮食
REAL-025,Q18,葡语解释
REAL-025,Q18,图片地图
REAL-025,Q18,来源链接
REAL-025,Q20,易懂
REAL-025,Q20,准确
REAL-025,Q20,语种支持
REAL-026,Q17,饮食
REAL-026,Q17,公共交通
REAL-026,Q17,红色文化
REAL-026,Q18,练习反馈
REAL-026,Q18,情境对话
REAL-026,Q18,英文解释
REAL-026,Q20,准确
REAL-026,Q20,语种支持
REAL-026,Q20,易懂
REAL-027,Q17,饮食
REAL-027,Q17,公共交通
REAL-027,Q17,非遗与老字号
REAL-027,Q18,分级中文
REAL-027,Q18,例句
REAL-027,Q18,练习反馈
REAL-027,Q20,易懂
REAL-027,Q20,有来源
REAL-027,Q20,准确
REAL-028,Q17,节庆礼仪
REAL-028,Q17,校园生活
REAL-028,Q17,非遗与老字号
REAL-028,Q18,分级中文
REAL-028,Q18,情境对话
REAL-028,Q18,文化辨析
REAL-028,Q20,语种支持
REAL-028,Q20,教学可操作
REAL-028,Q20,能继续追问
REAL-029,Q17,节庆礼仪
REAL-029,Q17,非遗与老字号
REAL-029,Q17,社区生活
REAL-029,Q18,英文解释
REAL-029,Q18,分级中文
REAL-029,Q18,情境对话
REAL-029,Q20,能继续追问
REAL-029,Q20,语种支持
REAL-029,Q20,准确
REAL-030,Q17,饮食
REAL-030,Q17,城市建筑
REAL-030,Q17,公共交通
REAL-030,Q18,分级中文
REAL-030,Q18,练习反馈
REAL-030,Q18,拼音
REAL-030,Q20,易懂
REAL-030,Q20,有来源
REAL-030,Q20,准确
REAL-031,Q17,节庆礼仪
REAL-031,Q17,校园生活
REAL-031,Q17,饮食
REAL-031,Q18,文化辨析
REAL-031,Q18,葡语解释
REAL-031,Q18,情境对话
REAL-031,Q20,能继续追问
REAL-031,Q20,语种支持
REAL-031,Q20,有来源
REAL-032,Q17,非遗与老字号
REAL-032,Q17,公共交通
REAL-032,Q17,节庆礼仪
REAL-032,Q18,英文解释
REAL-032,Q18,例句
REAL-032,Q18,图片地图
REAL-032,Q20,能继续追问
REAL-032,Q20,易懂
REAL-032,Q20,语种支持
REAL-033,Q17,饮食
REAL-033,Q17,非遗与老字号
REAL-033,Q17,城市建筑
REAL-033,Q18,分级中文
REAL-033,Q18,例句
REAL-033,Q18,英文解释
REAL-033,Q20,准确
REAL-033,Q20,教学可操作
REAL-033,Q20,语种支持
REAL-034,Q17,社区生活
REAL-034,Q17,非遗与老字号
REAL-034,Q17,校园生活
REAL-034,Q18,文化辨析
REAL-034,Q18,练习反馈
REAL-034,Q18,例句
