interview_id,interview_type,theme
REAL-L-001,学习者,快速口语与追问
REAL-L-001,学习者,本地词语与方言
REAL-L-001,学习者,文化背景与历史语境
REAL-L-001,学习者,来源可信与核验
REAL-L-001,学习者,多模态与母语脚手架
REAL-L-001,学习者,真实任务与城市行走
REAL-L-002,学习者,本地词语与方言
REAL-L-002,学习者,文化背景与历史语境
REAL-L-002,学习者,来源可信与核验
REAL-L-002,学习者,多模态与母语脚手架
REAL-L-002,学习者,真实任务与城市行走
REAL-L-003,学习者,本地词语与方言
REAL-L-003,学习者,文化背景与历史语境
REAL-L-003,学习者,来源可信与核验
REAL-L-003,学习者,多模态与母语脚手架
REAL-L-003,学习者,真实任务与城市行走
REAL-L-004,学习者,快速口语与追问
REAL-L-004,学习者,本地词语与方言
REAL-L-004,学习者,文化背景与历史语境
REAL-L-004,学习者,来源可信与核验
REAL-L-004,学习者,多模态与母语脚手架
REAL-L-004,学习者,真实任务与城市行走
REAL-L-005,学习者,本地词语与方言
REAL-L-005,学习者,文化背景与历史语境
REAL-L-005,学习者,来源可信与核验
REAL-L-005,学习者,多模态与母语脚手架
REAL-L-005,学习者,真实任务与城市行走
REAL-L-006,学习者,本地词语与方言
REAL-L-006,学习者,文化背景与历史语境
REAL-L-006,学习者,来源可信与核验
REAL-L-006,学习者,多模态与母语脚手架
REAL-L-006,学习者,真实任务与城市行走
REAL-L-007,学习者,快速口语与追问
REAL-L-007,学习者,本地词语与方言
REAL-L-007,学习者,文化背景与历史语境
REAL-L-007,学习者,来源可信与核验
REAL-L-007,学习者,多模态与母语脚手架
REAL-L-007,学习者,真实任务与城市行走
REAL-L-008,学习者,本地词语与方言
REAL-L-008,学习者,文化背景与历史语境
REAL-L-008,学习者,来源可信与核验
REAL-L-008,学习者,多模态与母语脚手架
REAL-L-008,学习者,真实任务与城市行走
REAL-L-009,学习者,快速口语与追问
REAL-L-009,学习者,本地词语与方言
REAL-L-009,学习者,文化背景与历史语境
REAL-L-009,学习者,来源可信与核验
REAL-L-009,学习者,多模态与母语脚手架
REAL-L-009,学习者,真实任务与城市行走
REAL-L-010,学习者,本地词语与方言
REAL-L-010,学习者,文化背景与历史语境
REAL-L-010,学习者,来源可信与核验
REAL-L-010,学习者,多模态与母语脚手架
REAL-L-010,学习者,真实任务与城市行走
REAL-T-001,教师,分级与难度适配
REAL-T-001,教师,来源追溯
REAL-T-001,教师,教师审核控制
REAL-T-001,教师,史实与刻板印象风险
REAL-T-001,教师,备课效率
REAL-T-001,教师,课堂任务可用性
REAL-T-002,教师,分级与难度适配
REAL-T-002,教师,来源追溯
REAL-T-002,教师,教师审核控制
REAL-T-002,教师,史实与刻板印象风险
REAL-T-002,教师,备课效率
REAL-T-002,教师,课堂任务可用性
REAL-T-003,教师,分级与难度适配
REAL-T-003,教师,来源追溯
REAL-T-003,教师,教师审核控制
REAL-T-003,教师,史实与刻板印象风险
REAL-T-003,教师,备课效率
REAL-T-003,教师,课堂任务可用性
REAL-T-004,教师,分级与难度适配
REAL-T-004,教师,来源追溯
REAL-T-004,教师,教师审核控制
REAL-T-004,教师,史实与刻板印象风险
REAL-T-004,教师,备课效率
REAL-T-004,教师,课堂任务可用性
