record_id,data_class,valid_record,quality_issue,q0,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,q12,q13,q14,q15,q16,q17,q18,q19,q20,q21,q22,q23,q24,q25,q26,q27,q28,q29,q30,q31,q32
REAL-001,REAL_SUPPLIED,1,,同意,同意,不愿意,俄语,HSK3,7—12个月,来华国际学生,短期到访,1—3小时,3,4,4,2,2,2,5,3,公共交通、城市建筑,文化辨析、图片地图、拼音,1分钟微任务,准确、语种支持、有来源,未试用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,外滩代表海派历史，陆家嘴代表创新发展。,B,B,增加上海交通卡的办理指南
REAL-002,REAL_SUPPLIED,1,,同意,同意,愿意,西班牙语,HSK4,2年以上,来华国际学生,短期到访,少于1小时,4,4,3,4,3,2,5,5,非遗与老字号、城市建筑、节庆礼仪,图片地图、文化辨析、练习反馈,10分钟活动,有来源、能继续追问、易懂,未试用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,外滩是欧式老建筑，陆家嘴楼更高更现代。,B,B,图片和地图可以更多一些
REAL-003,REAL_SUPPLIED,1,,同意,同意,愿意,韩语,HSK3,1—2年,来华国际学生,在沪学习或工作不满1年,4—7小时,3,4,1,3,3,4,4,4,社区生活、城市建筑、饮食,文化辨析、图片地图、拼音,城市行走任务,有来源、准确、易懂,未试用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,外滩是欧式老建筑，陆家嘴是金融高楼群。,B,B,加入更多校园生活场景
REAL-004,REAL_SUPPLIED,1,,同意,同意,不愿意,日语,HSK3,1—2年,来华国际学生,在沪1年以上,1—3小时,4,3,3,2,4,4,4,5,社区生活、节庆礼仪、城市建筑,图片地图、分级中文、英文解释,45分钟课堂,有来源、准确,已试用,4,5,4,3,4,3,5,外滩充满历史感，陆家嘴代表新上海。,B,B,希望支持更多小语种
REAL-005,REAL_SUPPLIED,1,,同意,同意,不愿意,其他（泰语）,HSK3,7—12个月,来华国际学生,在沪学习或工作不满1年,8小时以上,5,3,3,3,3,3,4,4,非遗与老字号、红色文化、城市建筑,拼音、例句、练习反馈,城市行走任务,语种支持、准确、易懂,未试用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,外滩是古典建筑群，陆家嘴充满科技感。,B,B,希望有每日一句上海文化推送
REAL-006,REAL_SUPPLIED,1,,同意,同意,不愿意,韩语,HSK1,不足3个月,来华国际学生,在沪学习或工作不满1年,8小时以上,2,1,3,3,3,2,5,4,饮食、文学艺术,情境对话、练习反馈、文化辨析,10分钟活动,准确、能继续追问、语种支持,已试用,4,2,5,4,4,4,4,外滩是上海的过去，陆家嘴是上海的现在。,B,B,希望回答可以收藏和复习
REAL-007,REAL_SUPPLIED,1,,同意,同意,不愿意,英语,HSK2,7—12个月,来华国际学生,在沪学习或工作不满1年,1—3小时,2,3,3,3,4,3,2,4,公共交通、节庆礼仪、城市建筑,例句、拼音、来源链接,城市行走任务,语种支持、易懂、准确,已试用,4,4,4,4,4,4,5,外滩适合拍照怀旧，陆家嘴适合看夜景灯光。,B,B,希望增加节庆活动的实时信息
REAL-008,REAL_SUPPLIED,1,,同意,同意,不愿意,其他（越南语）,HSK3,7—12个月,来华国际学生,在沪学习或工作不满1年,4—7小时,3,1,4,2,3,2,4,4,饮食、文学艺术,英文解释、例句,城市行走任务,准确、能继续追问、有来源,未试用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,外滩记录着老上海故事，陆家嘴楼更高更现代。,B,B,增加发音跟读功能
REAL-009,REAL_SUPPLIED,1,,同意,同意,不愿意,阿拉伯语,HSK4,1—2年,来华国际学生,短期到访,1—3小时,2,3,3,5,3,4,4,5,节庆礼仪、公共交通,例句、练习反馈、图片地图,1分钟微任务,有来源、准确、能继续追问,已试用,4,3,4,4,4,5,4,外滩风格古典优雅，陆家嘴更有现代气息。,C,B,希望增加方言听力材料
REAL-010,REAL_SUPPLIED,1,,同意,同意,不愿意,日语,HSK4,2年以上,来华国际学生,在沪1年以上,4—7小时,3,5,3,2,3,2,5,4,公共交通、社区生活、城市建筑,来源链接、例句、拼音,城市行走任务,准确、易懂、语种支持,未试用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,外滩充满历史感，陆家嘴是现代摩天大楼。,B,C,答案后面希望附上可靠来源链接
REAL-011,REAL_SUPPLIED,1,,同意,同意,不愿意,日语,HSK3,1—2年,在沪外籍人士,在沪学习或工作不满1年,1—3小时,3,4,4,5,3,4,5,3,公共交通、社区生活、城市建筑,图片地图、例句,聊天问答,易懂、准确、有来源,未试用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,外滩是万国建筑群，陆家嘴是金融高楼群。,B,B,增加红色文化的外语解释
REAL-012,REAL_SUPPLIED,1,,同意,同意,不愿意,阿拉伯语,HSK2,3—6个月,来华国际学生,在沪学习或工作不满1年,1—3小时,4,3,3,3,2,3,5,5,社区生活、非遗与老字号、校园生活,练习反馈、拼音,城市行走任务,准确、能继续追问、有来源,未试用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,外滩有历史感，陆家嘴有科技感。,B,B,希望能离线缓存常用场景
REAL-013,REAL_SUPPLIED,1,,同意,同意,愿意,日语,HSK2,3—6个月,来华国际学生,在沪学习或工作不满1年,少于1小时,1,2,2,3,2,4,5,4,公共交通、饮食、文学艺术,练习反馈、分级中文、情境对话,聊天问答,准确、有来源,未试用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,外滩记录着老上海故事，陆家嘴展现都市新面貌。,B,C,加入更多关于上海美食的内容
REAL-014,REAL_SUPPLIED,1,,同意,同意,不愿意,其他（泰语）,HSK4,2年以上,来华国际学生,在沪1年以上,1—3小时,4,3,3,2,3,3,3,3,文学艺术、饮食、社区生活,例句、分级中文、练习反馈,聊天问答,有来源、易懂、准确,已试用,5,4,4,3,3,4,3,外滩代表过去的历史，陆家嘴代表未来的上海。,B,B,希望支持我的母语注释
REAL-015,REAL_SUPPLIED,1,,同意,同意,不愿意,葡萄牙语,HSK5及以上,2年以上,来华国际学生,在沪学习或工作不满1年,1—3小时,5,5,3,3,2,5,5,2,饮食、红色文化,葡语解释、例句、拼音,1分钟微任务,有来源、准确、语种支持,未试用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,外滩有百年历史，陆家嘴充满科技感。,C,B,加入上海话简单表达的介绍
