respondent_id,data_class,consent,group,native_language,hsk_level,identity,shanghai_experience,pre_culture,post_culture,culture_gain,relevance,cultural_clarity,language_accessibility,usability,task_correct,completion_sec,trust,reuse_intent,quality_flag
SYN-001,SYNTHETIC,演示同意,智语桥组,日本語,HSK4,来华国际学生,在沪不足1年,3,3,0,4,4,3,5,1,271,5,4,PASS
SYN-002,SYNTHETIC,演示同意,常规检索组,Português,HSK4,海外中文学习者,从未,2,2,0,4,4,4,3,1,132,3,3,PASS
SYN-003,SYNTHETIC,演示同意,智语桥组,English,HSK2,在沪外籍人士,从未,3,3,0,3,4,4,3,1,194,3,4,PASS
SYN-004,SYNTHETIC,演示同意,常规检索组,العربية,HSK4,来华国际学生,在沪不足1年,4,5,1,3,3,3,4,1,244,2,4,PASS
SYN-005,SYNTHETIC,演示同意,智语桥组,English,HSK4,在沪外籍人士,在沪不足1年,2,2,0,3,3,4,4,0,272,4,5,PASS
SYN-006,SYNTHETIC,演示同意,常规检索组,Español,HSK1,来华国际学生,短期到访,2,2,0,3,3,4,4,0,335,4,4,PASS
SYN-007,SYNTHETIC,演示同意,智语桥组,日本語,HSK1,在沪外籍人士,在沪不足1年,2,4,2,4,3,3,5,1,170,5,5,PASS
SYN-008,SYNTHETIC,演示同意,常规检索组,Português,HSK1,来华国际学生,在沪1年以上,2,4,2,5,3,4,4,0,339,4,4,PASS
SYN-009,SYNTHETIC,演示同意,智语桥组,한국어,HSK2,海外中文学习者,在沪不足1年,2,1,-1,4,3,3,4,0,240,5,5,PASS
SYN-010,SYNTHETIC,演示同意,常规检索组,Español,HSK2,来华国际学生,在沪不足1年,3,3,0,3,3,3,4,1,302,3,2,PASS
SYN-011,SYNTHETIC,演示同意,智语桥组,한국어,HSK3,海外中文学习者,从未,2,4,2,4,4,5,5,1,212,4,4,PASS
SYN-012,SYNTHETIC,演示同意,常规检索组,日本語,HSK4,来华国际学生,在沪不足1年,3,4,1,3,2,3,3,1,169,3,3,PASS
SYN-013,SYNTHETIC,演示同意,智语桥组,한국어,HSK2,海外中文学习者,在沪1年以上,3,5,2,5,3,5,4,1,214,4,4,PASS
SYN-014,SYNTHETIC,演示同意,常规检索组,日本語,HSK2,来华国际学生,从未,3,3,0,3,2,3,3,0,273,3,3,PASS
SYN-015,SYNTHETIC,演示同意,智语桥组,Português,HSK2,海外中文学习者,短期到访,3,5,2,5,4,5,4,1,187,5,4,PASS
SYN-016,SYNTHETIC,演示同意,常规检索组,한국어,HSK4,在沪外籍人士,在沪1年以上,1,2,1,2,4,2,3,1,298,4,4,PASS
SYN-017,SYNTHETIC,演示同意,智语桥组,Русский,HSK1,海外中文学习者,从未,3,4,1,5,4,5,5,1,232,5,4,PASS
SYN-018,SYNTHETIC,演示同意,常规检索组,Español,HSK1,来华国际学生,短期到访,2,3,1,3,2,3,3,0,370,4,3,PASS
SYN-019,SYNTHETIC,演示同意,智语桥组,Português,HSK3,来华国际学生,在沪不足1年,2,3,1,4,4,4,5,1,144,4,5,PASS
SYN-020,SYNTHETIC,演示同意,常规检索组,한국어,HSK3,海外中文学习者,从未,3,2,-1,3,3,4,3,0,309,3,3,PASS
SYN-021,SYNTHETIC,演示同意,智语桥组,Português,HSK1,来华国际学生,在沪不足1年,2,2,0,5,4,5,5,1,259,4,2,PASS
SYN-022,SYNTHETIC,演示同意,常规检索组,Português,HSK3,来华国际学生,从未,3,4,1,3,4,4,3,1,303,3,2,PASS
SYN-023,SYNTHETIC,演示同意,智语桥组,日本語,HSK2,来华国际学生,短期到访,4,5,1,4,4,4,4,1,196,4,4,PASS
SYN-024,SYNTHETIC,演示同意,常规检索组,العربية,HSK2,来华国际学生,在沪1年以上,3,4,1,3,3,4,5,0,260,5,3,PASS
SYN-025,SYNTHETIC,演示同意,智语桥组,日本語,HSK3,来华国际学生,从未,1,2,1,4,5,3,4,1,197,4,5,PASS
SYN-026,SYNTHETIC,演示同意,常规检索组,日本語,HSK1,在沪外籍人士,在沪1年以上,4,3,-1,3,3,3,4,1,261,2,4,PASS
SYN-027,SYNTHETIC,演示同意,智语桥组,English,HSK1,在沪外籍人士,从未,1,2,1,5,5,4,5,1,141,2,3,PASS
SYN-028,SYNTHETIC,演示同意,常规检索组,Русский,HSK2,在沪外籍人士,在沪1年以上,3,4,1,3,2,3,3,1,224,4,3,PASS
SYN-029,SYNTHETIC,演示同意,智语桥组,Русский,HSK4,来华国际学生,从未,3,4,1,4,5,4,3,1,186,3,3,PASS
SYN-030,SYNTHETIC,演示同意,常规检索组,日本語,HSK2,在沪外籍人士,在沪1年以上,3,3,0,2,3,4,3,1,170,3,4,PASS
SYN-031,SYNTHETIC,演示同意,智语桥组,Русский,HSK4,来华国际学生,在沪1年以上,3,3,0,4,5,4,5,1,211,4,4,PASS
SYN-032,SYNTHETIC,演示同意,常规检索组,Español,HSK1,在沪外籍人士,从未,2,1,-1,3,4,2,3,1,282,4,3,PASS
SYN-033,SYNTHETIC,演示同意,智语桥组,日本語,HSK2,来华国际学生,短期到访,3,4,1,4,3,5,5,1,201,3,3,PASS
SYN-034,SYNTHETIC,演示同意,常规检索组,Português,HSK4,在沪外籍人士,在沪不足1年,3,3,0,4,4,4,3,1,276,3,4,PASS
SYN-035,SYNTHETIC,演示同意,智语桥组,العربية,HSK4,在沪外籍人士,从未,2,3,1,5,5,5,4,1,277,4,4,PASS
SYN-036,SYNTHETIC,演示同意,常规检索组,English,HSK2,在沪外籍人士,在沪不足1年,3,4,1,3,4,3,3,0,287,2,3,PASS
SYN-037,SYNTHETIC,演示同意,智语桥组,Русский,HSK3,海外中文学习者,在沪1年以上,3,4,1,5,4,3,5,1,251,3,4,PASS
SYN-038,SYNTHETIC,演示同意,常规检索组,English,HSK3,海外中文学习者,在沪不足1年,2,2,0,3,4,4,4,0,385,2,3,PASS
SYN-039,SYNTHETIC,演示同意,智语桥组,Español,HSK2,来华国际学生,从未,3,3,0,5,5,4,5,0,218,3,4,PASS
SYN-040,SYNTHETIC,演示同意,常规检索组,한국어,HSK2,来华国际学生,短期到访,2,3,1,3,4,4,2,1,264,2,3,PASS
SYN-041,SYNTHETIC,演示同意,智语桥组,العربية,HSK2,来华国际学生,短期到访,1,3,2,5,4,3,3,1,132,4,5,PASS
SYN-042,SYNTHETIC,演示同意,常规检索组,Русский,HSK2,海外中文学习者,在沪不足1年,3,4,1,4,3,4,4,0,261,3,3,PASS
SYN-043,SYNTHETIC,演示同意,智语桥组,日本語,HSK2,海外中文学习者,从未,2,2,0,5,4,4,5,1,195,5,4,PASS
SYN-044,SYNTHETIC,演示同意,常规检索组,العربية,HSK2,来华国际学生,在沪1年以上,3,4,1,3,3,3,3,1,219,4,3,PASS
SYN-045,SYNTHETIC,演示同意,智语桥组,Русский,HSK4,海外中文学习者,在沪不足1年,3,4,1,4,3,3,3,1,243,5,3,PASS
SYN-046,SYNTHETIC,演示同意,常规检索组,日本語,HSK1,海外中文学习者,短期到访,3,4,1,4,3,4,4,1,276,3,3,PASS
SYN-047,SYNTHETIC,演示同意,智语桥组,العربية,HSK1,海外中文学习者,短期到访,4,5,1,4,5,5,4,1,193,5,3,PASS
SYN-048,SYNTHETIC,演示同意,常规检索组,한국어,HSK2,来华国际学生,从未,1,2,1,3,4,3,3,1,329,3,5,PASS
SYN-049,SYNTHETIC,演示同意,智语桥组,English,HSK3,在沪外籍人士,短期到访,3,5,2,4,4,4,4,1,204,4,3,PASS
SYN-050,SYNTHETIC,演示同意,常规检索组,日本語,HSK1,来华国际学生,在沪不足1年,2,4,2,4,2,3,4,1,254,3,4,PASS
SYN-051,SYNTHETIC,演示同意,智语桥组,日本語,HSK1,在沪外籍人士,在沪1年以上,2,2,0,5,3,4,5,1,227,3,5,PASS
SYN-052,SYNTHETIC,演示同意,常规检索组,Русский,HSK1,在沪外籍人士,短期到访,2,2,0,3,4,4,3,0,191,3,4,PASS
SYN-053,SYNTHETIC,演示同意,智语桥组,العربية,HSK3,来华国际学生,短期到访,3,4,1,5,5,4,4,1,100,4,3,PASS
SYN-054,SYNTHETIC,演示同意,常规检索组,Español,HSK1,海外中文学习者,从未,2,3,1,3,3,3,3,1,196,3,2,PASS
SYN-055,SYNTHETIC,演示同意,智语桥组,日本語,HSK3,在沪外籍人士,从未,3,4,1,5,4,4,5,1,160,5,4,PASS
SYN-056,SYNTHETIC,演示同意,常规检索组,한국어,HSK3,海外中文学习者,从未,3,3,0,3,4,3,4,1,272,4,3,PASS
SYN-057,SYNTHETIC,演示同意,智语桥组,한국어,HSK3,来华国际学生,在沪1年以上,3,4,1,5,5,4,5,0,234,4,4,PASS
