interview_id,interview_type,interview_date,future_date_flag,method,duration_min,adult_confirmed,voluntary_consent,anonymous_quote_consent,recording_consent,themes,representative_quote,primary_need,primary_risk
REAL-L-001,学习者,2026-08-22,0,当面,19,是,同意,同意,同意,快速口语与追问；本地词语与方言；文化背景与历史语境；来源可信与核验；多模态与母语脚手架；真实任务与城市行走,“每个字都认识，但是它代表的历史课本里没有讲。”,图片＋拼音＋句型表的点单对话,AI把菜名或说明翻错
REAL-L-002,学习者,2026-08-22,0,语音,17,是,同意,同意,不同意,本地词语与方言；文化背景与历史语境；来源可信与核验；多模态与母语脚手架；真实任务与城市行走,“没有背景，我就分不清它是好词还是坏词。”,分级中文＋可查询的地图,搜索结果没有来源
REAL-L-003,学习者,2026-08-23,0,当面,23,是,同意,同意,同意,本地词语与方言；文化背景与历史语境；来源可信与核验；多模态与母语脚手架；真实任务与城市行走,“没有背景的行走只是拍照。”,来源链接＋历史时间轴,AI内容没有出处
REAL-L-004,学习者,2026-08-23,0,视频,20,是,同意,同意,同意,快速口语与追问；本地词语与方言；文化背景与历史语境；来源可信与核验；多模态与母语脚手架；真实任务与城市行走,“方言的意思不难，难的是用法。”,带礼貌程度标注的情境对话,网络答案互相矛盾
REAL-L-005,学习者,2026-08-24,0,当面,24,是,同意,同意,同意,本地词语与方言；文化背景与历史语境；来源可信与核验；多模态与母语脚手架；真实任务与城市行走,“转发等于我替它担保。”,分层显示的文化辨析,回答冗长、来源不清
REAL-L-006,学习者,2026-08-24,0,语音,18,是,同意,同意,不同意,本地词语与方言；文化背景与历史语境；来源可信与核验；多模态与母语脚手架；真实任务与城市行走,“小吃街就是最好的课堂。”,图片为主的1分钟微任务,点评和推荐内容的真实性
REAL-L-007,学习者,2026-08-25,0,文字,22,是,同意,同意,不同意,快速口语与追问；本地词语与方言；文化背景与历史语境；来源可信与核验；多模态与母语脚手架；真实任务与城市行走,“学习也应该跟上这个节奏。”,可点击地图＋10分钟活动,信息过时
REAL-L-008,学习者,2026-08-25,0,当面,21,是,同意,同意,同意,本地词语与方言；文化背景与历史语境；来源可信与核验；多模态与母语脚手架；真实任务与城市行走,“两处放在一起能看到上海一百年的变化。”,来源链接＋术语中西对照,短视频中的史实错误
REAL-L-009,学习者,2026-08-26,0,视频,19,是,同意,同意,同意,快速口语与追问；本地词语与方言；文化背景与历史语境；来源可信与核验；多模态与母语脚手架；真实任务与城市行走,“原来不是我白学了。”,可追问的聊天问答,方言解释自相矛盾
REAL-L-010,学习者,2026-08-26,0,语音,22,是,同意,同意,同意,本地词语与方言；文化背景与历史语境；来源可信与核验；多模态与母语脚手架；真实任务与城市行走,“‘有网友认为’这种话不应该算来源。”,明确标注来源的文化辨析,来源标注不规范
REAL-T-001,教师,2026-08-25,0,当面,20,是,同意,同意,同意,分级与难度适配；来源追溯；教师审核控制；史实与刻板印象风险；备课效率；课堂任务可用性,“学生会把AI的回答当成标准答案。”,可分级、可直接改写的文化材料,史实错误
REAL-T-002,教师,2026-08-25,0,视频,23,是,同意,同意,同意,分级与难度适配；来源追溯；教师审核控制；史实与刻板印象风险；备课效率；课堂任务可用性,“模板拿过来改一改就能用在40人的班上。”,可直接改编的课堂活动模板,文化解读片面
REAL-T-003,教师,2026-08-26,0,当面,24,是,同意,同意,不同意,分级与难度适配；来源追溯；教师审核控制；史实与刻板印象风险；备课效率；课堂任务可用性,“工具应该示范怎么核查，而不是替学生核查。”,有深度的文化对比与讨论材料,隐含语境解释错误
REAL-T-004,教师,2026-08-27,0,语音,18,是,同意,同意,同意,分级与难度适配；来源追溯；教师审核控制；史实与刻板印象风险；备课效率；课堂任务可用性,“这种错误最伤信任。”,可靠的生活类文化信息库,过时或误导性的生活建议
